product_link,title,reviews,price,stars,img_link,availability
https://www.amazon.com/2021-Apple-10-2-inch-Wi-Fi-256GB/dp/B09G91TLNJ/ref=sr_1_15?keywords=ipad+pro&qid=1694599337&sr=8-15,"Apple iPad (9th Generation): with A13 Bionic chip, 10.2-inch Retina Display, 256GB, Wi-Fi, 12MP front/8MP Back Camera, Touch ID, All-Day Battery Life – Silver","133,311 ratings",,4.8 out of 5 stars,https://m.media-amazon.com/images/I/61PnHlc0HCL.__AC_SY445_SX342_QL70_FMwebp_.jpg,Only 4 left in stock - order soon
https://www.amazon.com/Apple-iPad-10-2-inch-Wi-Fi-32GB/dp/B08KWJW3DV/ref=sr_1_16?keywords=ipad+pro&qid=1694599337&sr=8-16,"Apple iPad (10.2-inch, Wi-Fi, 32GB) - Space Gray (Latest Model, 8thGEneration) (Renewed)","2,675 ratings",$239.00,4.6 out of 5 stars,https://m.media-amazon.com/images/I/71KlwCsb7nL.__AC_SX300_SY300_QL70_FMwebp_.jpg,Only 7 left in stock - order soon.
https://www.amazon.com/SGIN-Tablets-Quad-Core-Processor-Bluetooth/dp/B0CDQ4N21H/ref=sr_1_17?keywords=ipad+pro&qid=1694599339&sr=8-17,"SGIN Tablet 10.1 inch, Tablets with 2GB RAM 64GB ROM(TF 512GB), Android 12 Tablet with Quad-Core Processor, HD Touch Screen, 2MP + 5MP Camera, Bluetooth 4.2, GPS, WiFi, Type-C, 5000mAh",3 ratings,,4.3 out of 5 stars,https://m.media-amazon.com/images/I/71oxqBOewaL.__AC_SX300_SY300_QL70_FMwebp_.jpg,Currently unavailable
https://www.amazon.com/Apple-Wi-Fi-256GB-Silver-Renewed/dp/B09QXVQ9JK/ref=sr_1_18?keywords=ipad+pro&qid=1694599339&sr=8-18,"2021 Apple iPad (10.2-inch, Wi-Fi, 256GB) - Silver (Renewed)","1,267 ratings",$399.00,4.6 out of 5 stars,https://m.media-amazon.com/images/I/61p4lWfJk+L._AC_SY300_SX300_.jpg,Only 7 left in stock - order soon.
https://www.amazon.com/Stylus-Pen-iPad-10th-Generation/dp/B0BY7SMR4W/ref=sr_1_19?keywords=ipad+pro&qid=1694599339&sr=8-19,"Stylus Pen for iPad 9th&10th Generation - 10Mins Faster Charge Stylus for iPad Pencil, Pen for iPad Compatible with (2018-2023) iPad 6-10th Gen, iPad Air 3-5, iPad Mini 5/6, iPad Pro 11""/12.9""",591 ratings,,4.7 out of 5 stars,https://m.media-amazon.com/images/I/51tMAm7GnmL.__AC_SX300_SY300_QL70_FMwebp_.jpg,Currently unavailable
https://www.amazon.com/Fintie-SlimShell-Case-11-inch-Generation/dp/B08ZRW1XS8/ref=sr_1_20?keywords=ipad+pro&qid=1694599339&sr=8-20,"Fintie SlimShell Case for iPad Pro 11-inch (4th / 3rd Generation) 2022/2021 - Soft Flexible TPU Stand Back Cover with Pencil Holder, Also Fit iPad Pro 11"" 2nd / 1st Gen, Composition Book","2,580 ratings",,4.7 out of 5 stars,https://m.media-amazon.com/images/I/81-xJANbY7L.__AC_SX300_SY300_QL70_FMwebp_.jpg,Currently unavailable
https://www.amazon.com/Pack-Type-Earphones-Microphone%EF%BC%8CUSB-Headphones-Cancelling/dp/B0C58R1J7G/ref=sr_1_21?keywords=ipad+pro&qid=1694599339&sr=8-21,"2 Pack-Type C Earbuds Wired Earphones with Microphone，USB C Headphones Earbuds&Remote Control Noise Cancelling in-Ear Headset for iPad Pro,Pixel 7/6/6a/5/4,Galaxy S23/S22/S21/S20/Ultra Note 10/20",999 ratings,,4.6 out of 5 stars,https://m.media-amazon.com/images/I/614ldJATOgL.__AC_SX300_SY300_QL70_FMwebp_.jpg,Currently unavailable
https://www.amazon.com/Logitech-Combo-Touch-iPad-11-inch/dp/B0937Z63SR/ref=sr_1_22?keywords=ipad+pro&qid=1694599339&sr=8-22,"Logitech Combo Touch iPad Pro 11-inch (1st, 2nd, 3rd, 4th gen - 2018, 2020, 2021, 2022) Keyboard Case - Detachable Backlit Keyboard, Click-Anywhere Trackpad - Oxford Gray; USA Layout","1,831 ratings",,4.5 out of 5 stars,https://m.media-amazon.com/images/I/7157JTjtfFS.__AC_SX300_SY300_QL70_FMwebp_.jpg,Only 1 left in stock - order soon.
https://www.amazon.com/2019-Apple-iPad-10-5-inch-WiFi/dp/B0BFC2S2YP/ref=sr_1_23?keywords=ipad+pro&qid=1694599339&sr=8-23,"2019 Apple iPad Air (10.5-inch, WiFi, 64GB) - Gold (Renewed Premium)",17 ratings,$299.00,4.6 out of 5 stars,https://m.media-amazon.com/images/I/61tyw3LNwzL.__AC_SX300_SY300_QL70_FMwebp_.jpg,Only 5 left in stock - order soon.
https://www.amazon.com/ESR-Compatible-Generation-Detachable-Adjustable/dp/B09XHQYKK5/ref=sr_1_24?keywords=ipad+pro&qid=1694599339&sr=8-24,"ESR for iPad Pro 12.9 Case, iPad 12.9 Pro Folio Case (2022/2021, 6th/5th Generation) with Pencil Holder, Detachable Magnetic Cover, Vertical Stand, Rebound 360 Series, Black","1,744 ratings",,4.6 out of 5 stars,https://m.media-amazon.com/images/I/71aMs37mBML.__AC_SX300_SY300_QL70_FMwebp_.jpg,Only 2 left in stock - order soon
https://www.amazon.com/Apple-iPad-10-9-inch-Wi-Fi-256GB/dp/B08MDNM284/ref=sr_1_25?keywords=ipad+pro&qid=1694599339&sr=8-25,"Apple iPad Air (10.9-inch, Wi-Fi, 256GB) - Space Gray (Latest Model, 4th Generation) (Renewed)","2,217 ratings",,4.4 out of 5 stars,https://m.media-amazon.com/images/I/71I39NnxjXL.__AC_SX300_SY300_QL70_FMwebp_.jpg,Currently unavailable
https://www.amazon.com/Logitech-Combo-Touch-iPad-12-9-inch/dp/B0938C32PZ/ref=sr_1_26?keywords=ipad+pro&qid=1694599339&sr=8-26,"Logitech Combo Touch iPad Pro 12.9-inch (5th, 6th gen - 2021, 2022) Keyboard Case - Detachable Backlit Keyboard with Kickstand, Click-Anywhere Trackpad, Smart Connector - Oxford Gray; USA Layout","2,336 ratings",,4.4 out of 5 stars,https://m.media-amazon.com/images/I/71dmlPk0IyS.__AC_SX300_SY300_QL70_FMwebp_.jpg,Only 4 left in stock - order soon
https://www.amazon.com/XNMOA-Headphones-Microphone-Earphones-Compatible/dp/B0BLVQMHV1/ref=sr_1_27?keywords=ipad+pro&qid=1694599339&sr=8-27,"XNMOA Type C Wired Earbuds Headphones with Microphone,USB C Earphones with Volume Control&Support Call,Compatible with Samsung Galaxy S23 Ultra, S23+, iPad Pro MacBook,Most USB C Devices,White",100 ratings,,4.0 out of 5 stars,https://m.media-amazon.com/images/I/51uHZ1NtyZL.__AC_SX300_SY300_QL70_FMwebp_.jpg,Currently unavailable
https://www.amazon.com/Stylus-Generation-Compatible-2018-2023-Magnetic/dp/B0C2VLRGLF/ref=sr_1_28?keywords=ipad+pro&qid=1694599339&sr=8-28,"Stylus Pen for iPad,Ipad Pencil 2nd Generation,Apple Pencil,Smart Touch Switch,Compatible with(2018-2023) Magnetic iPad 6-10,iPad Mini 5/6,iPad Air 3-5,iPad Pro 11""/12.9""",157 ratings,,4.3 out of 5 stars,https://m.media-amazon.com/images/I/51GXozpONaL.__AC_SX300_SY300_QL70_FMwebp_.jpg,Currently unavailable
https://www.amazon.com/Apple-iPad-10-2-inch-Wi-Fi-32GB/dp/B08KWJW3DV/ref=sr_1_29?keywords=ipad+pro&qid=1694599339&sr=8-29,"Apple iPad (10.2-inch, Wi-Fi, 32GB) - Space Gray (Latest Model, 8thGEneration) (Renewed)","2,675 ratings",$239.00,4.6 out of 5 stars,https://m.media-amazon.com/images/I/71KlwCsb7nL.__AC_SX300_SY300_QL70_FMwebp_.jpg,Only 7 left in stock - order soon.
https://www.amazon.com/Pencil-Rejection-PERMARK-Compatible-2018-2022/dp/B09Y8X1NNG/ref=sr_1_30?keywords=ipad+pro&qid=1694599339&sr=8-30,"iPad Air Pencil with Palm Rejection, PERMARK Stylus Pen Compatible with (2018-2023) Apple iPad Pro (11/12.9 Inch),iPad Air 3rd/4th/5th Gen,iPad 6/7/8/9th Gen,iPad Mini 5/6th Gen (Purple)","1,029 ratings",,4.4 out of 5 stars,https://m.media-amazon.com/images/I/41Hpg-PFRSL.__AC_SX300_SY300_QL70_FMwebp_.jpg,Only 1 left in stock - order soon
https://www.amazon.com/2021-Apple-iPad-Mini-Wi-Fi/dp/B09G91LXFP/ref=sr_1_31?keywords=ipad+pro&qid=1694599339&sr=8-31,"Apple iPad Mini (6th Generation): with A15 Bionic chip, 8.3-inch Liquid Retina Display, 64GB, Wi-Fi 6, 12MP front/12MP Back Camera, Touch ID, All-Day Battery Life – Space Gray","8,090 ratings",,4.8 out of 5 stars,https://m.media-amazon.com/images/I/71ey-9D8yDL.__AC_SY445_SX342_QL70_FMwebp_.jpg,Only 7 left in stock - order soon
https://www.amazon.com/Apple-2022-10-9-inch-Wi-Fi-256GB/dp/B0BJLCX2Q2/ref=sr_1_32?keywords=ipad+pro&qid=1694599339&sr=8-32,"Apple iPad (10th Generation): with A14 Bionic chip, 10.9-inch Liquid Retina Display, 256GB, Wi-Fi 6, 12MP front/12MP Back Camera, Touch ID, All-Day Battery Life – Silver","5,609 ratings",,4.8 out of 5 stars,https://m.media-amazon.com/images/I/61goypdjAYL.__AC_SY445_SX342_QL70_FMwebp_.jpg,Currently unavailable
https://www.amazon.com/Apple-Tablet-128GB-Wi-Fi-Renewed/dp/B01KAKPD2E/ref=sr_1_33?keywords=ipad+pro&qid=1694599342&sr=8-33,"Apple iPad Pro Tablet (128GB, Wi-Fi, 9.7in) Gold (Renewed)",337 ratings,$219.00,4.4 out of 5 stars,https://m.media-amazon.com/images/I/91xk0o++tdL._AC_SY300_SX300_.jpg,Only 12 left in stock - order soon.
https://www.amazon.com/Charger-Apple-Tablet-Charging-Compatible/dp/B098XLG7Z3/ref=sr_1_34?keywords=ipad+pro&qid=1694599342&sr=8-34,"iPad Pro Charger, Apple Tablet Charger Type C USB C Fast Charger PD Wall Charger Plug Block & 6FT USB C to C Charging Cable Compatible with iPad Pro 12.9 2021/20/18, iPad Pro 11 Gen 3/2/1,iPad Air 4th",923 ratings,,4.5 out of 5 stars,https://m.media-amazon.com/images/I/3153T0+IUBL._SX342_SY445_.jpg,Currently unavailable
https://www.amazon.com/Apple-iPad-Pro-10-5-64GB/dp/B078D6S5PX/ref=sr_1_35?keywords=ipad+pro&qid=1694599342&sr=8-35,Apple iPad Pro 10.5in -64GB Wifi - 2017 Model - Gray (Renewed),"1,276 ratings",$229.00,4.6 out of 5 stars,https://m.media-amazon.com/images/I/71L+DGdHyWL._AC_SY300_SX300_.jpg,Currently unavailable
https://www.amazon.com/Apple-iPad-Pro-Cellular-Renewed/dp/B01JJBGRN4/ref=sr_1_36?keywords=ipad+pro&qid=1694599342&sr=8-36,"Apple iPad Pro (32GB, Wi-Fi + Cellular, Rose) 9.7in Tablet (Renewed)",153 ratings,$209.00,4.2 out of 5 stars,https://m.media-amazon.com/images/I/91e9gaqsSeL.__AC_SX300_SY300_QL70_FMwebp_.jpg,Only 16 left in stock - order soon.
https://www.amazon.com/Apple-11-inch-Wi-Fi-Cellular-128GB/dp/B0BTRLY3PY/ref=sr_1_37?keywords=ipad+pro&qid=1694599342&sr=8-37,"2022 Apple iPad Pro (11-inch, Wi-Fi + Cellular, 128GB) - Silver (Renewed)",14 ratings,$934.00,4.3 out of 5 stars,https://m.media-amazon.com/images/I/81S05k6p0xL.__AC_SX300_SY300_QL70_FMwebp_.jpg,Only 12 left in stock - order soon.
